,sampID,elongata_L,elongata_H,sublineata_L,sublineata_H,carinulata_L,carinulata_H,carinata_L,carinata_H,elongata,sublineata,carinulata,carinata,popID
298,G61,0,0.001,0.998,1,0,0.001,0,0.001,0,1,0,0,20NM
299,G62,0,0.001,0.998,1,0,0.001,0,0.001,0,1,0,0,20NM
300,G63,0,0.019,0.762,0.869,0,0.004,0.125,0.235,0.003,0.817,0,0.179,20NM
301,G64,0,0.001,0.998,1,0,0.001,0,0.001,0,1,0,0,20NM
302,G65,0,0.001,0.998,1,0,0.001,0,0.001,0,1,0,0,18TX
303,G66,0,0.001,0.998,1,0,0.001,0,0.001,0,1,0,0,18TX
304,G67,0,0.005,0.991,1,0,0.003,0,0.001,0.001,0.999,0,0,18TX
305,G68,0,0.001,0.999,1,0,0.001,0,0.001,0,1,0,0,18TX
306,G69,0,0.012,0.988,1,0,0.001,0,0.001,0.002,0.998,0,0,20NM
307,G7_rep,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,28NM
308,G70,0,0.001,0.998,1,0,0.001,0,0.001,0,1,0,0,20NM
309,G71,0,0.001,0.95,0.979,0.021,0.049,0,0.001,0,0.966,0.034,0,18TX
310,G72,0,0.001,0.998,1,0,0.001,0,0.001,0,1,0,0,18TX
311,G73,0.999,1,0,0.001,0,0.001,0,0.001,1,0,0,0,16TX
312,G74,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,16TX
313,G76,0.999,1,0,0.001,0,0.001,0,0.001,1,0,0,0,16TX
314,G77,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,16TX
